@relation WALMART_SALES_DATA-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R7-8

@attribute Unemployment numeric
@attribute CPI numeric
@attribute Fuel_Price numeric
@attribute Temperature numeric
@attribute Holiday_Flag numeric
@attribute Weekly_Sales numeric

@data
7.742,214.599939,3.473,69.97,0,1541102.38
7.682,214.837166,3.524,59.17,0,1495064.75
7.682,215.074394,3.622,67.84,0,1614259.35
7.682,215.291856,3.743,71.27,0,1559889
7.682,215.459905,3.807,72.99,0,1564819.81
7.682,215.627954,3.81,72.03,0,1455090.69
7.682,215.796004,3.906,64.61,0,1629391.28
7.682,215.964053,3.899,75.64,0,1604775.58
7.682,215.73392,3.907,67.63,0,1428218.27
7.682,215.503788,3.786,77.72,0,1466046.67
7.682,215.273655,3.699,83,0,1635078.41
7.682,215.043523,3.648,83.13,0,1588948.32
7.682,214.99806,3.637,86.41,0,1532114.86
7.682,215.091098,3.594,83.58,0,1438830.15
7.962,215.184137,3.524,85.55,0,1488538.09
7.962,215.277175,3.48,85.83,0,1534849.64
7.962,215.361109,3.575,88.54,0,1455119.97
7.962,215.422278,3.651,85.77,0,1396926.82
7.962,215.483448,3.682,86.83,0,1352219.79
7.962,215.544618,3.684,91.65,0,1624383.75
7.962,215.605788,3.638,90.76,0,1525147.09
7.962,215.669311,3.554,89.94,0,1530761.43
7.962,215.733226,3.523,87.96,0,1464693.46
7.962,215.797141,3.533,87.83,0,1550229.22
7.962,215.861056,3.546,76,1,1540471.24
7.962,216.041053,3.526,79.94,0,1514259.78
7.962,216.375825,3.467,75.8,0,1380020.27
7.962,216.710597,3.355,79.69,0,1394561.83
7.866,217.045368,3.285,69.31,0,1630989.95
7.866,217.355273,3.274,71.74,0,1493525.93
7.866,217.515976,3.353,63.71,0,1502562.78
7.866,217.676679,3.372,66.57,0,1445249.09
7.866,217.837382,3.332,54.98,0,1697229.58
7.866,217.998085,3.297,59.11,0,1594938.89
7.866,218.220509,3.308,62.25,0,1539483.7
7.866,218.467621,3.236,60.14,1,2033320.66
7.866,218.714733,3.172,48.91,0,1584083.95
7.866,218.961846,3.158,43.93,0,1799682.38
7.866,219.179453,3.159,51.63,0,1881176.67
7.866,219.357722,3.112,47.96,0,2270188.99
7.866,219.53599,3.129,44.55,1,1497462.72
7.348,219.714258,3.157,49.01,0,1550369.92
7.348,219.892526,3.261,48.53,0,1459601.17
7.348,219.985689,3.268,54.11,0,1394393.84
7.348,220.078852,3.29,54.26,0,1319325.59
7.348,220.172015,3.36,56.55,0,1636339.65
7.348,220.265178,3.409,48.02,1,1802477.43
7.348,220.425759,3.51,45.32,0,1819870
7.348,220.636902,3.555,57.25,0,1539387.83
7.348,220.848045,3.63,60.96,0,1688420.76
7.348,221.059189,3.669,58.76,0,1675431.16
7.348,221.211813,3.734,64.74,0,1677472.78
7.348,221.286413,3.787,65.93,0,1511068.07
7.348,221.361012,3.845,67.61,0,1649604.63
7.143,221.435611,3.891,70.43,0,1899676.88
7.143,221.51021,3.891,69.07,0,1621031.7
7.143,221.564074,3.877,66.76,0,1521577.87
7.143,221.617937,3.814,67.23,0,1468928.37
7.143,221.6718,3.749,75.55,0,1684519.99
7.143,221.725663,3.688,73.77,0,1611096.05
7.143,221.742674,3.63,70.33,0,1595901.87
7.143,221.744944,3.561,77.22,0,1555444.55
7.143,221.747214,3.501,77.95,0,1624477.58
7.143,221.749484,3.452,78.3,0,1697230.96
7.143,221.762642,3.393,79.35,0,1630607
7.143,221.803021,3.346,78.39,0,1527845.81
7.143,221.8434,3.286,84.88,0,1540421.49
6.908,221.883779,3.227,81.57,0,1769854.16
6.908,221.924158,3.256,77.12,0,1527014.04
6.908,221.932727,3.311,80.42,0,1497954.76
6.908,221.941295,3.407,82.66,0,1439123.71
6.908,221.949864,3.417,86.11,0,1631135.79
6.908,221.958433,3.494,85.05,0,1592409.97
6.908,222.038411,3.571,84.85,0,1597868.05
6.908,222.171946,3.62,77.66,0,1494122.38
6.908,222.30548,3.638,80.49,0,1582083.4
6.908,222.439015,3.73,83.96,1,1661767.33
6.908,222.582019,3.717,74.97,0,1517428.87
6.908,222.781839,3.721,69.87,0,1506126.06
6.908,222.981658,3.666,76.08,0,1437059.26
6.573,223.181477,3.617,68.55,0,1670785.97
6.573,223.381296,3.601,62.99,0,1573072.81
6.573,223.425723,3.594,67.97,0,1508068.77
6.573,223.444251,3.506,69.16,0,1493659.74
8.324,210.752605,2.572,40.19,0,2136989.46
8.324,210.897994,2.548,38.49,1,2137809.5
8.324,210.94516,2.514,39.69,0,2124451.54
8.324,210.975957,2.561,46.1,0,1865097.27
8.324,211.006754,2.625,47.17,0,1991013.13
8.324,211.037551,2.667,57.56,0,1990483.78
8.324,210.873332,2.72,54.52,0,1946070.88
8.324,210.67661,2.732,51.26,0,1750197.81
8.2,210.479887,2.719,63.27,0,2066187.72
8.2,210.283165,2.77,65.41,0,1954689.21
8.2,210.149546,2.808,68.07,0,1874957.94
8.2,210.100065,2.795,65.11,0,1821990.93
8.2,210.050583,2.78,66.98,0,1802450.29
8.2,210.001102,2.835,71.28,0,2042581.71
8.2,209.998458,2.854,73.31,0,1880752.36
8.2,210.276844,2.826,74.83,0,1896937.1
8.2,210.55523,2.759,81.13,0,1957113.89
8.2,210.833616,2.705,81.81,0,2102539.93
8.2,211.112002,2.668,83.4,0,2025538.76
8.2,211.109654,2.637,85.81,0,2001636.96
8.2,210.995013,2.653,86.26,0,1939927.09
8.099,210.880373,2.669,82.74,0,2003940.64
8.099,210.765732,2.642,82.59,0,1880902.62
8.099,210.757795,2.623,85.32,0,1845879.79
8.099,210.892132,2.608,87.66,0,1781717.71
8.099,211.026468,2.64,83.49,0,1804246.16
8.099,211.160805,2.627,89.53,0,1991909.98
8.099,211.295141,2.692,89.05,0,1895601.05
8.099,211.259659,2.664,88.7,0,1964335.23
8.099,211.224176,2.619,87.12,0,1863840.49
8.099,211.188693,2.577,81.83,0,1904608.09
8.099,211.15321,2.565,79.09,1,1839128.83
8.099,211.180642,2.582,82.05,0,1793903.6
8.099,211.255258,2.624,81.79,0,1724557.22
8.163,211.329874,2.603,69.24,0,1827440.43
8.163,211.404491,2.633,63.19,0,1849921.44
8.163,211.471329,2.72,65.8,0,1794355.49
8.163,211.518721,2.725,68.5,0,1737947.64
8.163,211.566113,2.716,66.24,0,1802755.11
8.163,211.613505,2.689,57.85,0,1939061.41
8.163,211.660898,2.728,59.69,0,1916812.74
8.163,211.54703,2.771,50.81,0,1956739.17
8.163,211.406287,2.735,62.98,1,2658725.29
8.163,211.265543,2.708,49.33,0,2015781.27
8.163,211.124799,2.843,45.5,0,2378726.55
8.163,211.064546,2.869,47.55,0,2609166.75
8.163,211.06466,2.886,49.97,0,3436007.68
8.163,211.064774,2.943,47.3,1,1750434.55
8.028,211.064888,2.976,44.69,0,1758050.79
8.028,211.117671,2.983,33.02,0,1744193.58
8.028,211.486469,3.016,41.4,0,1751384.9
8.028,211.855267,3.01,42.83,0,1695371.68
8.028,212.224065,2.989,38.25,0,1929346.23
8.028,212.592862,3.022,33.19,1,2168041.61
8.028,212.903312,3.045,57.83,0,2080884.82
8.028,213.190421,3.065,60.8,0,1833511.08
8.028,213.477531,3.288,57.77,0,1981607.78
8.028,213.76464,3.459,52.7,0,1879107.31
8.028,214.015624,3.488,62.32,0,1902557.66
8.028,214.252157,3.473,69.42,0,1766162.05
7.931,214.488691,3.524,55.43,0,1800171.36
7.931,214.725224,3.622,67,0,1847552.61
7.931,214.942063,3.743,69.48,0,1856467.84
7.931,215.109666,3.807,69.39,0,1886339.6
7.931,215.277268,3.81,69.21,0,1745545.28
7.931,215.444871,3.906,61.48,0,1837743.6
7.931,215.612473,3.899,74.61,0,1838513.07
7.931,215.383478,3.907,67.14,0,1688281.86
7.931,215.154482,3.786,76.42,0,1797732.56
7.931,214.925487,3.699,83.07,0,1933756.21
7.931,214.696491,3.648,83.4,0,1929153.16
7.931,214.651354,3.637,86.53,0,1953771.99
7.931,214.744111,3.594,85.17,0,1790925.8
7.852,214.836868,3.524,85.69,0,1866243
7.852,214.929625,3.48,87.7,0,1853161.99
7.852,215.013443,3.575,89.83,0,1785187.29
7.852,215.074912,3.651,89.34,0,1743816.41
7.852,215.136382,3.682,90.07,0,1680693.06
7.852,215.197852,3.684,93.34,0,1876704.26
7.852,215.259321,3.638,91.58,0,1812768.26
7.852,215.322931,3.554,89.86,0,1844094.59
7.852,215.386897,3.523,90.45,0,1821139.91
7.852,215.450863,3.533,89.64,0,1809119.7
7.852,215.514829,3.546,77.97,1,1748000.65
7.852,215.694438,3.526,78.85,0,1691439.52
7.852,216.028236,3.467,75.58,0,1669299.78
7.852,216.362033,3.355,78.14,0,1650394.44
7.441,216.695831,3.285,69.92,0,1837553.43
7.441,217.004826,3.274,71.67,0,1743882.19
7.441,217.165004,3.353,64.53,0,1834680.25
7.441,217.325182,3.372,65.87,0,1769296.25
7.441,217.485361,3.332,55.53,0,1959707.9
7.441,217.645539,3.297,59.33,0,1920725.15
7.441,217.867022,3.308,62.01,0,1902762.5
7.441,218.113027,3.236,56.36,1,2614202.3
7.441,218.359032,3.172,48.74,0,1954952
7.441,218.605037,3.158,41.76,0,2290549.32
7.441,218.821793,3.159,50.13,0,2432736.52
7.441,218.99955,3.112,46.66,0,3224369.8
7.441,219.177306,3.129,44.57,1,1874226.52
7.057,219.355063,3.157,46.75,0,1799520.14
7.057,219.53282,3.261,45.99,0,1744725.48
7.057,219.625842,3.268,51.7,0,1711769.11
7.057,219.718864,3.29,50.5,0,1660906.14
7.057,219.811885,3.36,55.21,0,1935299.94
7.057,219.904907,3.409,46.98,1,2103322.68
7.057,220.065199,3.51,43.82,0,2196688.46
7.057,220.275944,3.555,54.63,0,1861802.7
7.057,220.486689,3.63,58.79,0,1952555.66
7.057,220.697433,3.669,57.11,0,1937628.26
7.057,220.849847,3.734,63.68,0,1976082.13
7.057,220.924486,3.787,64.01,0,1790439.16
7.057,220.999125,3.845,66.83,0,1857480.84
6.891,221.073764,3.891,68.43,0,2129035.91
6.891,221.148403,3.891,68.08,0,1935869.1
6.891,221.202107,3.877,65.69,0,1847344.45
6.891,221.255812,3.814,67.2,0,1764133.09
6.891,221.309517,3.749,76.73,0,1923957.09
6.891,221.363221,3.688,73.87,0,1917520.99
6.891,221.380331,3.63,71.27,0,2000940.67
6.891,221.382803,3.561,78.19,0,1912791.09
6.891,221.385275,3.501,78.38,0,1910092.37
6.891,221.387747,3.452,78.69,0,2010216.49
6.891,221.40099,3.393,80.56,0,1962924.3
6.891,221.441162,3.346,81.04,0,1887733.21
6.891,221.481334,3.286,86.32,0,1881046.12
6.565,221.521506,3.227,84.2,0,2041507.4
6.565,221.561678,3.256,80.17,0,1830075.13
6.565,221.570112,3.311,83.23,0,1819666.46
6.565,221.578546,3.407,86.37,0,1757923.88
6.565,221.58698,3.417,90.22,0,1946104.64
6.565,221.595414,3.494,88.55,0,1866719.96
6.565,221.675146,3.571,84.79,0,1928016.01
6.565,221.808352,3.62,76.91,0,1876788.15
6.565,221.941558,3.638,82.64,0,1947083.3
6.565,222.074763,3.73,87.65,1,1898777.07
6.565,222.21744,3.717,75.88,0,1814806.63
6.565,222.416936,3.721,71.09,0,1829415.67
6.565,222.616433,3.666,79.45,0,1746470.56
6.17,222.81593,3.617,70.27,0,1998321.04
6.17,223.015426,3.601,60.97,0,1900745.13
6.17,223.059808,3.594,68.08,0,1847990.41
6.17,223.078337,3.506,69.79,0,1834458.35
7.368,214.424881,2.572,45.71,0,461622.22
7.368,214.574792,2.548,47.93,1,420728.96
7.368,214.619887,2.514,47.07,0,421642.19
7.368,214.647513,2.561,52.05,0,407204.86
7.368,214.675139,2.625,53.04,0,415202.04
7.368,214.702765,2.667,63.08,0,384200.69
7.368,214.530122,2.72,60.42,0,375328.59
7.368,214.324101,2.732,57.06,0,359949.27
7.343,214.11808,2.719,65.56,0,423294.4
7.343,213.912059,2.77,68,0,415870.28
7.343,213.772689,2.808,66.98,0,354993.26
7.343,213.722185,2.795,67.87,0,339976.65
7.343,213.671682,2.78,70.24,0,361248.39
7.343,213.621178,2.835,73.47,0,399323.86
7.343,213.619614,2.854,77.18,0,384357.94
7.343,213.911689,2.826,75.81,0,343763.17
7.343,214.203763,2.759,78.6,0,350089.23
7.343,214.495838,2.705,78.53,0,396968.8
7.343,214.787913,2.668,82.1,0,355017.09
7.343,214.785826,2.637,83.52,0,364076.85
7.343,214.666074,2.653,83.79,0,357346.48
7.346,214.546322,2.669,82.2,0,381151.72
7.346,214.42657,2.642,81.75,0,349214.18
7.346,214.417648,2.623,84.32,0,352728.78
7.346,214.556497,2.608,83.32,0,352864.49
7.346,214.695346,2.64,82.04,0,347955.05
7.346,214.834195,2.627,85.13,0,402635.76
7.346,214.973044,2.692,86.74,0,339597.38
7.346,214.931419,2.664,88.02,0,351728.21
7.346,214.889794,2.619,86.15,0,362134.09
7.346,214.848169,2.577,84.16,0,366473.97
7.346,214.806543,2.565,80.84,1,352260.97
7.346,214.832248,2.582,82.36,0,363064.64
7.346,214.908452,2.624,76.9,0,355626.87
7.564,214.984655,2.603,73.6,0,358784.1
7.564,215.060858,2.633,66.99,0,395107.35
7.564,215.129311,2.72,69.71,0,345584.39
7.564,215.17839,2.725,71.64,0,348895.98
7.564,215.227469,2.716,72.04,0,348591.74
7.564,215.276547,2.689,62.94,0,423175.56
7.564,215.325626,2.728,62.79,0,386635.03
7.564,215.207452,2.771,57.72,0,372545.32
7.564,215.061403,2.735,68.71,1,565567.84
7.564,214.915353,2.708,53.76,0,476420.77
7.564,214.769304,2.843,51.13,0,467642.03
7.564,214.704919,2.869,52.2,0,498159.39
7.564,214.701783,2.886,57.16,0,605990.41
7.564,214.698647,2.943,53.2,1,382677.76
7.551,214.69551,2.976,53.35,0,378241.34
7.551,214.747073,2.983,44.76,0,381061.1
7.551,215.126827,3.016,50.74,0,350876.7
7.551,215.506582,3.01,48.71,0,364866.24
7.551,215.886337,2.989,45.95,0,438516.53
7.551,216.266091,3.022,43.57,1,430526.21
7.551,216.584357,3.045,61.58,0,432782.1
7.551,216.878028,3.065,67.4,0,397211.19
7.551,217.171698,3.288,65.11,0,437084.51
7.551,217.465368,3.459,61.29,0,404753.3
7.551,217.723523,3.488,69.47,0,392109.51
7.551,217.96747,3.473,72.94,0,380683.67
7.574,218.211418,3.524,68.76,0,374556.08
7.574,218.455366,3.622,72.55,0,384075.31
7.574,218.678864,3.743,75.88,0,366250.69
7.574,218.851237,3.807,76.91,0,391860.04
7.574,219.02361,3.81,78.69,0,367405.4
7.574,219.195983,3.906,69.45,0,413042.12
7.574,219.368356,3.899,79.87,0,386312.68
7.574,219.127216,3.907,75.79,0,364603.13
7.574,218.886077,3.786,84.41,0,369350.6
7.574,218.644937,3.699,84.29,0,394507.84
7.574,218.403797,3.648,84.84,0,391638.75
7.574,218.355175,3.637,86.96,0,403423.34
7.574,218.45094,3.594,84.94,0,385520.71
7.567,218.546705,3.524,85.1,0,368962.72
7.567,218.64247,3.48,85.38,0,395146.24
7.567,218.727522,3.575,87.14,0,373454.33
7.567,218.785788,3.651,86.19,0,360617.37
7.567,218.844054,3.682,88.07,0,345381.29
7.567,218.902321,3.684,88.45,0,409981.25
7.567,218.960587,3.638,88.88,0,380376.85
7.567,219.023271,3.554,88.44,0,379716.91
7.567,219.086691,3.523,87.67,0,366367.55
7.567,219.150111,3.533,89.12,0,375988.69
7.567,219.21353,3.546,81.72,1,377347.49
7.567,219.397287,3.526,83.63,0,375629.51
7.567,219.741491,3.467,80.19,0,365248.94
7.567,220.085696,3.355,82.58,0,368477.93
7.197,220.429901,3.285,75.54,0,403342.4
7.197,220.748617,3.274,73.75,0,368282.57
7.197,220.9144,3.353,69.03,0,394976.36
7.197,221.080184,3.372,71.04,0,389540.62
7.197,221.245968,3.332,59.31,0,459443.22
7.197,221.411752,3.297,61.7,0,407764.25
7.197,221.643285,3.308,63.91,0,398838.97
7.197,221.901118,3.236,68,1,556925.19
7.197,222.158952,3.172,54.97,0,472511.32
7.197,222.416785,3.158,49.26,0,468772.8
7.197,222.642642,3.159,57.95,0,510747.62
7.197,222.825863,3.112,53.41,0,551221.21
7.197,223.009084,3.129,48.29,1,410553.88
6.833,223.192305,3.157,52.42,0,398178.21
6.833,223.375526,3.261,51.86,0,367438.62
6.833,223.470055,3.268,56.2,0,365818.61
6.833,223.564584,3.29,58.06,0,349518.1
6.833,223.659114,3.36,59.33,0,424960.66
6.833,223.753643,3.409,51.65,1,473292.47
6.833,223.917015,3.51,52.39,0,475591.08
6.833,224.13202,3.555,60.12,0,418925.47
6.833,224.347025,3.63,61.65,0,469752.56
6.833,224.562029,3.669,60.71,0,445162.05
6.833,224.716695,3.734,64,0,411775.8
6.833,224.79091,3.787,66.53,0,413907.25
6.833,224.865125,3.845,69.36,0,407488.84
6.664,224.93934,3.891,73.01,0,503232.13
6.664,225.013556,3.891,72.83,0,420789.74
6.664,225.068954,3.877,72.05,0,434822.13
6.664,225.124353,3.814,73.39,0,394616.11
6.664,225.179751,3.749,79.51,0,439913.57
6.664,225.23515,3.688,75.19,0,431985.36
6.664,225.251202,3.63,72.38,0,418112.76
6.664,225.251517,3.561,78.58,0,413701.29
6.664,225.251831,3.501,81.55,0,432268.53
6.664,225.252146,3.452,81.65,0,446336.8
6.664,225.264479,3.393,84.66,0,442074.79
6.664,225.306861,3.346,82.7,0,419497.95
6.664,225.349244,3.286,86.42,0,422965.33
6.334,225.391625,3.227,83.14,0,411206.5
6.334,225.434007,3.256,82.28,0,416913.1
6.334,225.443883,3.311,81.38,0,432424.85
6.334,225.453758,3.407,84.94,0,389427.9
6.334,225.463633,3.417,86.55,0,419990.29
6.334,225.473509,3.494,85.85,0,391811.6
6.334,225.555866,3.571,87.36,0,394918.83
6.334,225.692586,3.62,83.01,0,412449.67
6.334,225.829306,3.638,85.18,0,408838.73
6.334,225.966026,3.73,84.99,1,408229.73
6.334,226.112207,3.717,78.36,0,407589.16
6.334,226.31515,3.721,72.78,0,414392.09
6.334,226.518093,3.666,77.46,0,389813.02
6.034,226.721036,3.617,72.74,0,443557.65
6.034,226.923979,3.601,70.31,0,410804.39
6.034,226.968844,3.594,73.44,0,424513.08
6.034,226.987364,3.506,74.66,0,405432.7
8.623,126.442065,2.598,43.76,0,2135143.87
8.623,126.496258,2.573,28.84,1,2188307.39
8.623,126.526286,2.54,36.45,0,2049860.26
8.623,126.552286,2.59,41.36,0,1925728.84
8.623,126.578286,2.654,43.49,0,1971057.44
8.623,126.604286,2.704,49.63,0,1894324.09
8.623,126.606645,2.743,55.19,0,1897429.36
8.623,126.605064,2.752,39.91,0,1762539.3
7.896,126.603484,2.74,48.77,0,1979247.12
7.896,126.601903,2.773,54.16,0,1818452.72
7.896,126.5621,2.81,56.23,0,1851519.69
7.896,126.471333,2.805,56.87,0,1802677.9
7.896,126.380567,2.787,53.04,0,1817273.28
7.896,126.2898,2.836,56.77,0,2000626.14
7.896,126.208548,2.845,62.35,0,1875597.28
7.896,126.184387,2.82,67.4,0,1903752.6
7.896,126.160226,2.756,67.73,0,1857533.7
7.896,126.136065,2.701,70.83,0,1903290.58
7.896,126.111903,2.668,78.45,0,1870619.23
7.896,126.114,2.635,81.53,0,1929736.35
7.896,126.1266,2.654,81.1,0,1846651.95
7.372,126.1392,2.668,73.66,0,1881337.21
7.372,126.1518,2.637,80.35,0,1812208.22
7.372,126.149806,2.621,78.53,0,1898427.66
7.372,126.128355,2.612,79.78,0,1848426.78
7.372,126.106903,2.65,80.7,0,1796637.61
7.372,126.085452,2.64,76.53,0,1907638.58
7.372,126.064,2.698,78.08,0,2007050.75
7.372,126.076645,2.671,78.83,0,1997181.09
7.372,126.08929,2.621,74.44,0,1848403.92
7.372,126.101935,2.584,76.8,0,1935857.58
7.372,126.114581,2.574,73.54,1,1865820.81
7.372,126.145467,2.594,64.91,0,1899959.61
7.372,126.190033,2.642,60.96,0,1810684.68
7.127,126.2346,2.619,63.96,0,1842821.02
7.127,126.279167,2.645,67.73,0,1951494.85
7.127,126.326677,2.732,62.03,0,1867345.09
7.127,126.381548,2.736,64.17,0,1927610.06
7.127,126.436419,2.718,56.94,0,1933333
7.127,126.49129,2.699,51.6,0,2013115.79
7.127,126.546161,2.741,52.65,0,1999794.26
7.127,126.6072,2.78,48.05,0,2097809.4
7.127,126.669267,2.752,48.08,1,2789469.45
7.127,126.731333,2.727,46.4,0,2102530.17
7.127,126.7934,2.86,42.4,0,2302504.86
7.127,126.879484,2.884,46.57,0,2740057.14
7.127,126.983581,2.887,43.21,0,3526713.39
7.127,127.087677,2.955,38.09,1,1794868.74
6.51,127.191774,2.98,39.34,0,1862476.27
6.51,127.300935,2.992,31.6,0,1865502.46
6.51,127.440484,3.017,38.34,0,1886393.94
6.51,127.580032,3.022,40.6,0,1814240.85
6.51,127.719581,2.996,34.61,0,2119086.04
6.51,127.859129,3.033,33.29,1,2187847.29
6.51,127.99525,3.058,48.17,0,2316495.56
6.51,128.13,3.087,49,0,2078094.69
6.51,128.26475,3.305,46.56,0,2103455.75
6.51,128.3995,3.461,50.93,0,2039818.41
6.51,128.512193,3.495,51.86,0,2116475.38
6.51,128.616064,3.48,59.1,0,1944164.32
5.946,128.719935,3.521,56.99,0,1900246.47
5.946,128.823806,3.605,62.61,0,2074953.46
5.946,128.910733,3.724,62.34,0,1960587.76
5.946,128.9553,3.781,68.8,0,2220600.76
5.946,128.999867,3.781,64.22,0,1878167.44
5.946,129.044433,3.866,63.41,0,2063682.76
5.946,129.089,3.872,70.65,0,2002362.37
5.946,129.075677,3.881,70.49,0,2015563.48
5.946,129.062355,3.771,73.65,0,1986597.95
5.946,129.049032,3.683,78.26,0,2065377.15
5.946,129.03571,3.64,80.05,0,2073951.38
5.946,129.0432,3.618,83.51,0,2141210.62
5.946,129.0663,3.57,81.85,0,2008344.92
5.644,129.0894,3.504,84.54,0,2051533.53
5.644,129.1125,3.469,84.59,0,2066541.86
5.644,129.133839,3.563,83.27,0,2049046.95
5.644,129.150774,3.627,82.84,0,2036231.39
5.644,129.16771,3.659,84.36,0,1989674.07
5.644,129.184645,3.662,86.09,0,2160057.39
5.644,129.201581,3.617,82.98,0,2105668.74
5.644,129.240581,3.55,82.77,0,2232892.1
5.644,129.283258,3.523,81.47,0,1988490.21
5.644,129.325936,3.533,77.99,0,2078420.31
5.644,129.368613,3.554,73.34,1,2093139.01
5.644,129.4306,3.532,72.76,0,2075577.33
5.644,129.518333,3.473,69.23,0,2031406.41
5.644,129.606067,3.371,72.15,0,1929486.63
5.143,129.6938,3.299,65.79,0,2166737.65
5.143,129.770645,3.283,63.75,0,2074548.85
5.143,129.782161,3.361,64.79,0,2207742.13
5.143,129.793677,3.362,55.31,0,2151659.59
5.143,129.805194,3.322,49.86,0,2281217.31
5.143,129.81671,3.286,47.12,0,2203028.96
5.143,129.826833,3.294,50.44,0,2243946.59
5.143,129.8364,3.225,47.96,1,3004702.33
5.143,129.845967,3.176,38.71,0,2180999.26
5.143,129.855533,3.153,31.64,0,2508955.24
5.143,129.898065,3.149,36.44,0,2771397.17
5.143,129.984548,3.103,35.92,0,3676388.98
5.143,130.071032,3.119,36.89,1,2007105.86
4.607,130.157516,3.158,38.64,0,2047766.07
4.607,130.244,3.263,34.41,0,1941676.61
4.607,130.279226,3.273,42.09,0,2005097.76
4.607,130.314452,3.29,40.31,0,1928720.51
4.607,130.349677,3.354,41.81,0,2173373.91
4.607,130.384903,3.411,33,1,2374660.64
4.607,130.454621,3.493,34.19,0,2427640.17
4.607,130.550207,3.541,41.31,0,2226662.17
4.607,130.645793,3.619,50.38,0,2206319.9
4.607,130.741379,3.667,53.63,0,2202450.81
4.607,130.826193,3.707,59.81,0,2214967.44
4.607,130.896645,3.759,59.07,0,2091592.54
4.607,130.967097,3.82,72.63,0,2089381.77
4.308,131.037548,3.864,67.69,0,2470206.13
4.308,131.108,3.881,68.69,0,2105301.39
4.308,131.117333,3.864,68.6,0,2144336.89
4.308,131.126667,3.81,76.47,0,2064065.66
4.308,131.136,3.747,80.14,0,2196968.33
4.308,131.145333,3.685,67.64,0,2127661.17
4.308,131.098323,3.62,68.43,0,2207214.81
4.308,131.028774,3.551,77.47,0,2154137.67
